Timestamp_023	Field_023	Sorb_023	Pot1k_023	PotHe3_023	Probe_Cx_023	TDO1_023	TDO2_023
172.099	17.16949	4.134	0	0.2779	0.7186	10703039.41	5241311.873
172.782	17.16638	4.134	0	0.2779	0.7186	10703316.12	5240892.215
173.237	17.16387	4.134	0	0.2779	0.7185	10703669.9	5240800.812
173.693	17.16136	4.134	0	0.2779	0.7185	10704191.19	5240462.745
174.376	17.15852	4.134	0	0.2779	0.7185	10704519.13	5240191.653
174.831	17.15584	4.134	0	0.2779	0.7185	10704985.38	5239704.917
175.513	17.15262	4.134	0	0.2779	0.7185	10705370.33	5239636.908
175.97	17.15027	4.134	0	0.2779	0.7185	10705851.66	5239288.507
176.652	17.14694	4.134	0	0.2779	0.7185	10706126.24	5238844.205
177.109	17.14432	4.134	0	0.2779	0.7184	10706528.24	5238565.27
177.564	17.1422	4.134	0	0.2779	0.7184	10706966.08	5238555.127
178.073	17.13908	4.134	0	0.2779	0.7184	10707366.16	5238126.083
178.702	17.13663	4.134	0	0.2779	0.7184	10707840.05	5237687.263
179.216	17.13335	4.134	0	0.278	0.7184	10708003.81	5237496.557
179.612	17.13155	4.134	0	0.278	0.7184	10708254.22	5237476.726
